,CPU Name,CPU Mark (higher is better),Rank (lower is better),CPU Value (higher is better),Price (USD)
0,AArch64,833,4210,,
1,AArch64 rev 2 (aarch64),2409,2990,,
2,AArch64 rev 4 (aarch64),1813,3362,,
3,AC8257V/WAB,788,4260,,
4,AC8259V/WAB,910,4121,,
5,Allwinner A133,668,4409,,
6,Allwinner A523,1914,3280,,
7,Allwinner A527,2297,3051,,
8,Allwinner A733,3392,2509,,
9,Allwinner H618,623,4461,,
10,Allwinner h728,1953,3260,,
11,AMD 3015Ce,2099,3173,,
12,AMD 3015e,2657,2844,,
13,AMD 3020e,2412,2986,,
14,AMD 4700S,17756,899,,
15,AMD A10 Micro-6700T APU,1426,3634,,
16,AMD A10 PRO-7350B APU,1867,3322,,
17,AMD A10 PRO-7800B APU,3317,2544,,
18,AMD A10 PRO-7850B APU,3441,2485,23.25,$148.02*
19,AMD A10-4600M APU,1939,3270,26.92,$72.02*
20,AMD A10-4655M APU,1651,3472,,
21,AMD A10-4657M APU,1759,3405,,
22,AMD A10-5700 APU,2739,2797,40.27,$68.02*
23,AMD A10-5745M APU,1771,3395,,
24,AMD A10-5750M APU,2062,3196,26.42,$78.02
25,AMD A10-5757M APU,1996,3240,,
26,AMD A10-5800B APU,3057,2660,67.96,$44.99*
27,AMD A10-5800K APU,2955,2701,37.88,$78.02*
28,AMD A10-6700 APU,3112,2637,31.75,$98.02*
29,AMD A10-6700T APU,2299,3049,26.12,$88.02*
30,AMD A10-6790K APU,3108,2640,74.01,$42.00*
31,AMD A10-6800B APU,3155,2617,24.64,$128.02*
32,AMD A10-6800K APU,3201,2601,29.64,$108.02
33,AMD A10-7300 APU,1744,3411,,
34,AMD A10-7400P,2109,3167,,
35,AMD A10-7700K APU,3181,2605,24.85,$128.02
36,AMD A10-7800 APU,3215,2594,107.2,$29.99*
37,AMD A10-7850K APU,3388,2515,25.1,$134.99
38,AMD A10-7860K,3269,2569,61.84,$52.87*
39,AMD A10-7870K,3496,2469,6.76,$517.20*
40,AMD A10-7890K,3543,2453,26.02,$136.17*
41,AMD A10-8700P,2248,3086,,
42,AMD A10-8750,3244,2576,,
43,AMD A10-8850,3438,2486,,
44,AMD A10-9600P,2359,3015,,
45,AMD A10-9620P,2521,2921,,
46,AMD A10-9630P,2946,2705,,
47,AMD A10-9700,3557,2449,26.31,$135.22
48,AMD A10-9700E,3235,2586,25.27,$128.02*
49,AMD A12-9700P,2427,2975,,
50,AMD A12-9720P,2639,2852,,
51,AMD A12-9730P,3027,2668,,
52,AMD A12-9800,3684,2411,66.99,$55.00*
53,AMD A12-9800E,3471,2477,25.15,$138.02*
54,AMD A4 Micro-6400T APU,1082,3940,,
55,AMD A4 PRO-3340B,1709,3428,,
56,AMD A4 PRO-7300B APU,1458,3607,,
57,AMD A4 PRO-7350B,1544,3553,,
58,AMD A4-1200 APU,375,4748,,
59,AMD A4-1250 APU,418,4686,,
60,AMD A4-1350 APU,911,4119,,
61,AMD A4-3300 APU,957,4070,16.91,$56.61
62,AMD A4-3300M APU,723,4341,24.11,$29.99*
63,AMD A4-3305M APU,762,4290,36.62,$20.81*
64,AMD A4-3310MX APU,782,4269,,
65,AMD A4-3320M APU,668,4411,17.12,$39.00*
66,AMD A4-3330MX APU,756,4299,,
67,AMD A4-3400 APU,1089,3928,13.63,$79.95
68,AMD A4-3420 APU,1067,3964,7.84,$136.00*
69,AMD A4-4000 APU,1157,3867,58.01,$19.95*
70,AMD A4-4020 APU,1269,3753,12.05,$105.37*
71,AMD A4-4300M APU,977,4053,32.73,$29.86*
72,AMD A4-4355M APU,806,4234,,
73,AMD A4-5000 APU,1286,3738,,
74,AMD A4-5050 APU,1328,3703,,
75,AMD A4-5100 APU,1260,3763,,
76,AMD A4-5150M APU,957,4071,,
77,AMD A4-5300 APU,1366,3676,50.69,$26.95*
78,AMD A4-5300B APU,1254,3769,48.33,$25.95*
79,AMD A4-6210 APU,1505,3584,,
80,AMD A4-6250J APU,1671,3456,,
81,AMD A4-6300 APU,1422,3641,33.84,$42.02
82,AMD A4-6300B APU,1328,3704,47.51,$27.95*
83,AMD A4-6320 APU,1530,3563,21.86,$69.99*
84,AMD A4-7210 APU,1663,3463,,
85,AMD A4-7300 APU,1534,3560,83.05,$18.47*
86,AMD A4-9120,1224,3794,,
87,AMD A4-9120C,864,4174,,
88,AMD A4-9120e,854,4185,,
89,AMD A4-9125,1210,3810,,
90,AMD A6 Micro-6500T APU,1146,3879,,
91,AMD A6 PRO-7050B APU,1010,4023,,
92,AMD A6 PRO-7400B,1640,3477,,
93,AMD A6-1450 APU,1054,3975,,
94,AMD A6-3400M APU,1218,3801,49.81,$24.45*
95,AMD A6-3410MX APU,1270,3752,318.39,$3.99*
96,AMD A6-3420M APU,1302,3725,,
97,AMD A6-3430MX APU,1389,3661,,
98,AMD A6-3500 APU,1438,3622,23.88,$60.23
99,AMD A6-3600 APU,1697,3439,68.02,$24.95*
100,AMD A6-3620 APU,1869,3319,83.09,$22.49*
101,AMD A6-3650 APU,2090,3181,16.33,$128.00*
102,AMD A6-3670 APU,2181,3130,39.69,$54.95*
103,AMD A6-4400M APU,998,4033,40.02,$24.95*
104,AMD A6-4455M APU,792,4255,,
105,AMD A6-5200 APU,1673,3452,,
106,AMD A6-5345M APU,1122,3898,,
107,AMD A6-5350M APU,1205,3814,36.4,$33.12*
108,AMD A6-5357M APU,1192,3830,,
109,AMD A6-5400B APU,1459,3606,50.43,$28.94*
110,AMD A6-5400K APU,1276,3748,26.01,$49.04*
111,AMD A6-6310 APU,1680,3450,,
112,AMD A6-6400B APU,1639,3479,,
113,AMD A6-6400K APU,1514,3578,20.19,$75.00*
114,AMD A6-6420B APU,1550,3542,,
115,AMD A6-6420K APU,1571,3528,10.48,$149.99*
116,AMD A6-7000,1010,4022,,
117,AMD A6-7310 APU,1729,3419,,
118,AMD A6-7400K APU,1662,3465,19.5,$85.23*
119,AMD A6-7470K,1799,3372,20.22,$89.00*
120,AMD A6-7480,1817,3357,52.17,$34.82*
121,AMD A6-8500P,1445,3617,,
122,AMD A6-8550,1762,3403,,
123,AMD A6-9200,1146,3878,,
124,AMD A6-9210,1254,3770,,
125,AMD A6-9220,1296,3727,,
126,AMD A6-9220C,1053,3977,,
127,AMD A6-9220e,960,4068,,
128,AMD A6-9225,1337,3696,,
129,AMD A6-9230,1303,3724,,
130,AMD A6-9400,2717,2807,,
131,AMD A6-9500,1879,3316,37.57,$50.00*
132,AMD A6-9500E,1725,3423,30.08,$57.36*
133,AMD A8 PRO-7150B APU,1528,3564,,
134,AMD A8 PRO-7600B APU,2944,2709,,
135,AMD A8-3500M APU,1397,3658,23.3,$59.95*
136,AMD A8-3510MX APU,1631,3486,21.15,$77.11*
137,AMD A8-3520M APU,1453,3611,26.42,$55.00*
138,AMD A8-3530MX APU,1608,3498,,
139,AMD A8-3550MX APU,1687,3447,,
140,AMD A8-3800 APU,2043,3205,51.06,$40.00*
141,AMD A8-3820 APU,2185,3125,48.6,$44.95*
142,AMD A8-3850 APU,2409,2988,32.12,$75.00*
143,AMD A8-3870K APU,2345,3026,9.99,$234.79
144,AMD A8-4500M APU,1695,3442,35.29,$48.02
145,AMD A8-4555M APU,1344,3693,,
146,AMD A8-5500 APU,2619,2866,44.42,$58.95*
147,AMD A8-5500B APU,2588,2877,52.77,$49.04*
148,AMD A8-5545M APU,1625,3491,,
149,AMD A8-5550M APU,1816,3358,,
150,AMD A8-5557M APU,1831,3347,,
151,AMD A8-5600K APU,2866,2745,41.53,$69.01
152,AMD A8-6410 APU,1771,3397,,
153,AMD A8-6500 APU,2842,2754,102.23,$27.80*
154,AMD A8-6500B APU,2783,2772,55.72,$49.95*
155,AMD A8-6500T APU,1983,3245,33.07,$59.95*
156,AMD A8-6600K APU,2999,2683,34.07,$88.02
