Pantalla_Resolución de pantalla,_resolucion_pixeles,Comunicaciones_Estándar LAN,Sistema operativo_Arquitectura bit,Alimentación_Vatios-hora,_gpu_value,_gpu_price_usd,gpu_series,Pantalla_Formato de imagen,Otras características_Fecha de lanzamiento,Medidas y peso_Diseño,_tiene_webcam,Cámara_Webcam,Comunicaciones_Estándar wifi,Medidas y peso_Altura,Pantalla_Diagonal de la pantalla,Pantalla_Tamaño de la pantalla,_tamano_pantalla_pulgadas,Almacenamiento_Lector óptico,_version_bluetooth,Comunicaciones_Versión Bluetooth,_peso_kg,Medidas y peso_Peso,_serie,_cpu_price_usd,_cpu_value,Procesador_Frecuencia de reloj,Disco duro_Número de discos duros (instalados),Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Sistema operativo_Sistema operativo,Disco duro_Tipo de disco duro,Procesador_Caché,Procesador_Frecuencia turbo máx.,Medidas y peso_Profundidad,Medidas y peso_Ancho,Gráfica_Memoria gráfica,_cpu_cores,Procesador_Número de núcleos del procesador,gpu_brand,Procesador_Tipo de procesador,_gpu_rank,_gpu_mark,_ssd_gb,Disco duro_Capacidad de memoria SSD,gpu_is_integrated,Gráfica_Tarjeta gráfica,Otras características_Equipamiento,_ram_gb,RAM_Memoria RAM,cpu_family,cpu_brand,_cpu_mark,_cpu_rank,Procesador_Procesador,Procesador_Fabricante del procesador,Tipo de producto,Comunicaciones_Conectividad,_tiene_bluetooth,_tiene_wifi,Tipo,_brand,_precio_num
,,,,"52,6 Wh",,,,,2024.0,con tapa,1.0,integrada,,11 mm,"34,544 cm","13,6 pulgadas",13.6,,5.3,Bluetooth 5.3,1.24,"1,24 kg",Apple MacBook Air,,,,,,,,SSD,,,"21,5 cm","30,4 cm",,,,,,,,,,,,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,m3,apple,41228.0,260.0,Apple M3,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1656.85
,,,,"66,5 Wh",,,,,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,12 mm,"38,862 cm","15,3 pulgadas",15.3,,5.3,Bluetooth 5.3,1.51,"1,51 kg",Apple MacBook Air,,,,,,,,SSD,,,"23,8 cm",34 cm,,,,,,,,,,,,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,m3,apple,41228.0,260.0,Apple M3,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1971.335
3.024 x 1.964 píxeles,5939136.0,,,70 Wh,,,,,2024.0,con tapa,1.0,12.0 Megapixel,IEEE 802.11ax,16 mm,"36,068 cm","14,2 pulgadas",14.2,,5.3,Bluetooth 5.3,1.6,"1,6 kg",Apple MacBook Pro,,,,1.0,,,macOS Sequoia,SSD,,,"22,1 cm","31,3 cm",memoria compartida,,,,Apple M,,,,,,,"USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",,,,,,,,Apple,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,Apple,3331.8450000000003
1.920 x 1.080 píxeles,2073600.0,,,48 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"39,624 cm","15,6 pulgadas",15.6,,5.2,Bluetooth 5.2,2.3,"2,3 kg",ASUS TUF Gaming,,,,1.0,Rembrandt-R,DDR5,,SSD,16 MB,,"25,6 cm","35,9 cm",,,,,,,,512.0,512 GB,,,"altavoces estéreo, micrófono integrado, USB-C, webcam",16.0,16 GB RAM,,,,,,,Portátil gaming,"LAN, Bluetooth, wifi",1.0,1.0,Laptop,ASUS,839.355
,,,64 Bit,88 Wh,,,,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,22 mm,"40,64 cm",16 pulgadas,16.0,,5.2,Bluetooth 5.2,1.9,"1,9 kg",Gigabyte Aero,502.0,52.69,"1,8 GHz",1.0,Raptor Lake-H,DDR5,Windows 11 Home,SSD,24 MB,5 GHz,"25,5 cm","35,4 cm",8.192 MB / 8 GB,14.0,14.0,,Intel Core i7,,,1000.0,1.000 GB,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",16.0,16 GB RAM,core i7,intel,26452.0,511.0,Intel Core i7-13700H,Intel,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,Gigabyte,1550.6499999999999
2.880 x 1.800 píxeles,5184000.0,,64 Bit,75 Wh,63.3,249.0,,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.2,"1,2 kg",ASUS Zenbook,503.0,49.61,"3,8 GHz",1.0,Meteor Lake,LPDDR5X,Windows 11 Home,,24 MB,"4,8 GHz",22 cm,"31,2 cm",memoria compartida,16.0,16.0,intel,Intel Core Ultra 7,119.0,15761.0,512.0,512 GB,True,Intel Arc Graphics,"USB-C, altavoces estéreo, webcam, lector de tarjetas",16.0,16 GB RAM,core ultra 7,intel,24954.0,555.0,Intel Core Ultra 7 155H,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,1057.725
,,,,90 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11be,16 mm,"40,64 cm",16 pulgadas,16.0,,5.4,Bluetooth 5.4,1.85,"1,85 kg",ASUS Republic of Gamers,,,,1.0,,,Windows 11 Home,,,,"24,6 cm","35,4 cm",,,,,,,,1000.0,1.000 GB,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,ryzen 9,amd,35129.0,315.0,AMD Ryzen AI 9 HX 370,,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,3154.6099999999997
2.880 x 1.800 píxeles,5184000.0,,64 Bit,75 Wh,63.3,249.0,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,20 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.65,"1,65 kg",ASUS Zenbook,,,"3,8 GHz",1.0,Meteor Lake,LPDDR5X,Windows 11 Home,SSD,24 MB,"5,1 GHz","21,8 cm","31,4 cm",memoria compartida,16.0,16.0,intel,Intel Core Ultra 9,119.0,15761.0,1000.0,1.000 GB,True,Intel Arc Graphics,"USB-C, altavoces estéreo, webcam",32.0,32 GB RAM,core ultra 9,intel,29409.0,423.0,Intel Core Ultra 9 185H,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,2185.005
,,,,75 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.2,"1,2 kg",ASUS Zenbook,,,"3,3 GHz",,Hawk Point-HS,,,,24 MB,"5,1 GHz",22 cm,"31,2 cm",,8.0,8.0,,AMD Ryzen 7,,,,,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,ryzen 7,amd,27059.0,492.0,AMD Ryzen 7 8840HS,AMD,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,977.4749999999999
,,,,"52,6 Wh",,,,,2022.0,con tapa,1.0,integrada,,11 mm,"34,544 cm","13,6 pulgadas",13.6,,5.0,Bluetooth 5.0,1.24,"1,24 kg",Apple MacBook Air,,,,,,,,,,,"21,5 cm","30,4 cm",,,,,,,,,,,,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1304.335
