,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
0,256MB DDR Radeon 9800 XT,37,2430,,
1,6FDF:FF,9528,259,,
2,7900 MOD - Radeon HD 6520G,610,1583,,
3,7900 MOD - Radeon HD 6550D,892,1310,,
4,A10-12Q,9493,260,,
5,A10-8Q,7038,340,,
6,A16,5280,433,,
7,A16-1Q,3275,615,,
8,A16-2B,2332,764,,
9,A16-2Q,4747,485,,
10,A16-4Q,4493,507,,
11,A40-24Q,3317,609,,
12,A40-48Q,10436,237,,
13,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2005,,
14,ABIT Siluro T400,3,2625,,
15,ALL-IN-WONDER 9000,4,2592,,
16,ALL-IN-WONDER 9800,23,2498,,
17,ALL-IN-WONDER RADEON 8500DV,5,2578,,
18,All-in-Wonder X1800XL,30,2470,,
19,All-in-Wonder X1900,127,2154,,
20,ALL-IN-WONDER X800 GT,84,2275,,
21,AMD Ryzen Z1 Extreme,6518,360,,
22,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2650,,
23,ASUS A7000,9,2538,,
24,ASUS AGP-V3800PRO v31.40H,4,2611,,
25,ASUS EAH4870x2,496,1732,,
26,Asus GTX 650 FML II EC-EGPU,720,1458,,
27,ASUS V9520-X V62.11,7,2549,,
28,B8DKMDAP,4557,498,,
29,Barco MXRT 1450,205,2025,,
30,Barco MXRT 2600,900,1304,4.52,$199.00*
31,Barco MXRT 5400,1161,1160,5.72,$203.00*
32,Barco MXRT 5450,1079,1192,5.4,$199.99*
33,Barco MXRT 5500,2701,694,9.04,$299.00*
34,Barco MXRT 5600,2465,735,3.5,$704.00*
35,Barco MXRT 7100,180,2048,,
36,Barco MXRT 7400,900,1303,9.1,$99.00*
37,Barco MXRT 7500,3753,562,12.55,$299.00*
38,Barco MXRT 7600,4943,468,8.2,$602.59*
39,BASICDISPLAY,69,2317,,
40,Beijing Fantasy Technology Fantasy II-M,259,1961,,
41,CARRIZO 9874,226,1993,,
42,Citrix Indirect Display Adapter,1888,901,,
43,CMP 30HX,6806,348,,
44,CMP 40HX,9136,271,,
45,CONNECT 3D RADEON X300,36,2436,,
46,Custom GPU 0405,2921,663,,
47,Custom GPU 0932,3249,617,,
48,Dell 8100,2,2675,0.0,$999.11*
49,Dell 8200,4,2613,,
50,Diamond X1300-PCIE 256MB,70,2316,,
51,EAH5450,134,2137,1.22,$109.99*
52,EIZO Quadro MED-XN51LP,4951,467,,
53,Embedded Radeon E9173,1773,940,,
54,Eng Sample: 100-000000560-40_Y,5655,401,,
55,Eng Sample: 100-000000561-40_Y,4206,529,,
56,Extreme AX850 PRO,120,2176,,
57,FireGL T2-128,30,2467,,
58,FireGL V3100,52,2362,,
59,FireGL V3200,84,2272,,
60,FireGL V3300,70,2314,,
61,FireGL V3350,68,2322,,
62,FireGL V3400,103,2225,,
63,FireGL V3600,179,2049,1.12,$160.99*
64,FireGL V5100,92,2256,0.81,$114.96*
65,FireGL V5200,114,2193,0.86,$133.40*
66,FireGL V5600,341,1880,1.52,$225.00*
67,FireGL V7100,71,2308,0.22,$328.67*
68,FireGL V7200,116,2187,,
69,FireGL V7300,128,2150,0.11,"$1,189.99*"
70,FireGL V7350,110,2204,0.93,$119.42*
71,FireGL V7600,615,1574,,
72,FireGL V7700,660,1515,9.43,$69.99*
73,FireGL V8600,838,1343,,
74,FireGL V8650,550,1664,1.84,$298.99*
75,FireGL X1,59,2350,,
76,FireMV 2200 PCI,1,2692,,
77,FireMV 2200 PCIe,36,2438,0.4,$89.99*
78,FireMV 2250,45,2392,0.44,$104.00*
79,FireMV 2260,117,2182,1.33,$88.08*
80,FireMV 2400 PCIe,11,2530,,
81,FireMV 2450,73,2302,,
82,FirePro 2260,112,2197,,
83,FirePro 2270,142,2111,1.06,$134.00*
84,FirePro 2450,51,2372,0.57,$89.99*
85,FirePro 2460,170,2064,2.03,$83.99*
86,FirePro 3D V3700,178,2052,2.1,$84.99*
87,FirePro 3D V3750,341,1878,6.71,$50.88*
88,FirePro 3D V3800,472,1762,3.15,$149.99*
89,FirePro 3D V4800,853,1332,5.33,$159.99*
90,FirePro 3D V5700,546,1669,1.71,$319.99*
91,FirePro 3D V5800,1231,1128,6.04,$204.00*
92,FirePro 3D V7750,545,1673,1.56,$350.00*
93,FirePro 3D V7800,1867,909,3.11,$599.99*
94,FirePro 3D V8700,1206,1136,7.09,$170.07*
95,FirePro 3D V8750,1271,1112,1.03,"$1,230.99*"
96,FirePro 3D V8800,2437,737,5.74,$424.99*
97,FirePro 3D V9800,2811,675,1.13,"$2,499.00*"
98,FirePro M2000,425,1809,,
99,FirePro M4000,1595,1008,21.91,$72.83*
100,FirePro M4000 Mobility Pro,1629,992,,
101,FirePro M40003,1364,1083,,
102,Firepro M4100,1059,1203,,
103,FirePro M4150,994,1242,,
104,FirePro M4170,1188,1146,,
105,FirePro M5100,2102,829,,
106,FirePro M5100 FireGL V,1839,919,,
107,FirePro M5950,1314,1097,,
108,FirePro M6000,1820,925,5.58,$325.99*
109,FirePro M6000 Mobility Pro,1712,961,,
110,FirePro M6100,2374,752,,
111,FirePro M6100 FireGL V,2875,668,,
112,FirePro M7740,665,1511,,
113,FirePro R5000,2646,702,24.06,$109.99*
114,FirePro RG220,335,1887,0.52,$650.18*
115,FirePro S10000,4768,482,,
116,FirePro S7000,4523,502,18.35,$246.54*
117,FirePro S7150,3770,559,2.22,"$1,697.99*"
118,FirePro S9000,5059,456,,
119,FirePro S9050,4901,472,,
120,FirePro V3800,320,1902,2.57,$124.99*
121,FirePro V3900,637,1543,2.67,$238.44*
122,FirePro V4900,1005,1231,6.7,$149.99*
123,FirePro V5700,464,1772,2.47,$188.06*
124,FirePro V5800,1180,1148,22.27,$53.00*
125,FirePro V5900,1232,1127,14.33,$86.00*
126,FirePro V7000,3161,632,,
127,FirePro V7800,2028,851,10.68,$190.00*
128,FirePro V7900,2260,787,11.9,$190.00*
129,FirePro V8700,1538,1030,9.75,$157.88*
130,FirePro V8800,2280,779,11.52,$198.00*
131,FirePro V9800,2726,691,5.75,$474.00*
132,FirePro W2100,852,1335,14.45,$59.00*
133,FirePro W4100,1500,1043,8.16,$184.00*
134,FirePro W4170M,1065,1199,,
135,Firepro W4190M,1166,1153,,
136,FirePro W4300,2749,687,11.46,$239.99*
137,FirePro W5000,2955,659,16.06,$184.00*
138,FirePro W5100,2979,654,23.65,$125.99*
139,FirePro W5130M,1343,1090,,
140,Firepro W5170M,1814,928,,
141,FirePro W600,1685,975,4.06,$414.99*
142,FirePro W6150M,2358,759,,
143,FirePro W7000,4255,528,15.3,$278.05*
144,FirePro W7000 Adapter,4359,520,,
145,FirePro W7100,5191,442,13.33,$389.30*
146,FirePro W7170M,3161,633,,
147,FirePro W8000,4259,527,7.43,$573.00*
148,FirePro W8100,6671,356,9.48,$704.00*
149,FirePro W9000,6157,377,7.29,$845.00*
150,FirePro W9100,7747,316,4.48,"$1,729.99*"
151,FireStream 9170,647,1533,,
152,FireStream 9250,1164,1155,,
153,FireStream 9270,1341,1091,,
154,FireStream 9370,2528,725,,
155,GeCube RADEON 7000,8,2540,,
156,GeForce 205,126,2158,,
157,GeForce 210,128,2149,2.37,$54.15*
158,GeForce 240M GT,319,1906,,
159,GeForce 256,5,2588,0.12,$42.04*
160,GeForce 305M,150,2090,,
161,GeForce 310,143,2109,1.32,$108.35*
162,GeForce 310M,126,2159,,
163,GeForce 315,198,2033,6.02,$32.99*
164,GeForce 315M,114,2191,,
165,GeForce 320M,209,2018,,
166,GeForce 405,118,2180,4.79,$24.64*
167,GeForce 410M,267,1950,,
168,GeForce 505,143,2106,1.25,$115.06*
169,GeForce 510,290,1927,4.15,$69.99*
170,GeForce 605,322,1901,2.35,$136.83*
171,GeForce 6100,27,2477,,
172,GeForce 6100 nForce 400,25,2488,,
173,GeForce 6100 nForce 405,26,2479,,
174,GeForce 6100 nForce 420,25,2487,,
175,GeForce 6100 nForce 430,23,2500,,
176,GeForce 610M,292,1925,,
177,GeForce 615,507,1720,,
178,GeForce 6150,21,2503,0.07,$329.00*
179,GeForce 6150 LE,33,2454,,
180,GeForce 6150SE,24,2491,,
181,GeForce 6150SE nForce 430,30,2468,,
182,GeForce 6200,37,2432,0.71,$53.17*
183,GeForce 6200 A-LE,32,2463,,
184,GeForce 6200 LE,32,2460,0.8,$41.24*
185,GeForce 6200 TurboCache,51,2367,,
186,GeForce 6200A,3,2633,0.07,$54.99*
187,GeForce 6200SE TurboCache,37,2434,,
188,GeForce 6500,38,2426,,
189,GeForce 6600,86,2269,0.33,$264.00*
190,GeForce 6600 GT,142,2110,2.2,$64.95*
191,GeForce 6600 LE,51,2370,,
192,GeForce 6610 XL,88,2266,,
193,GeForce 6700 XL,95,2247,,
194,GeForce 6800,112,2198,0.2,$559.29*
195,GeForce 6800 GS,191,2042,,
196,GeForce 6800 GS/XT,102,2227,,
197,GeForce 6800 GT,142,2112,,
198,GeForce 6800 LE,109,2208,,
199,GeForce 6800 Ultra,138,2123,,
200,GeForce 6800 XE,58,2351,,
201,GeForce 6800 XT,120,2172,,
202,GeForce 7000M,13,2524,,
203,GeForce 7000M / nForce 610M,12,2525,,
204,GeForce 7025 / nForce 630a,33,2457,,
205,GeForce 7050 / nForce 610i,25,2485,,
206,GeForce 7050 / nForce 620i,41,2409,,
207,GeForce 7050 / nForce 630i,37,2429,,
208,GeForce 7050 PV / nForce 630a,31,2465,,
209,GeForce 705M,455,1780,,
210,GeForce 7100 / nForce 620i,26,2482,,
211,GeForce 7100 / nForce 630i,41,2407,,
212,GeForce 7100 GS,51,2371,,
213,GeForce 710A,472,1763,,
214,GeForce 710M,452,1786,,
215,GeForce 7150 / nForce 630i,33,2458,,
216,GeForce 7150M / nForce 630M,18,2511,,
217,GeForce 7200 GS,23,2499,,
218,GeForce 720A,577,1624,,
219,GeForce 7300 GS,78,2295,,
220,GeForce 7300 GT,121,2169,0.81,$149.99*
221,GeForce 7300 LE,80,2292,2.5,$32.00*
222,GeForce 7300 SE,39,2424,,
223,GeForce 7300 SE/7200 GS,48,2383,,
224,GeForce 730A,770,1410,,
225,GeForce 7350 LE,74,2301,,
226,GeForce 7500 LE,84,2271,,
227,GeForce 7600 GS,158,2082,1.31,$120.70
228,GeForce 7600 GT,237,1982,1.19,$199.00*
229,GeForce 7650 GS,134,2139,,
230,GeForce 770M,3245,618,18.34,$176.99*
231,GeForce 7800 GS,177,2055,,
232,GeForce 7800 GT,244,1978,3.05,$80.00*
233,GeForce 7800 GTX,290,1926,4.06,$71.60*
234,GeForce 7900 GS,253,1968,,
235,GeForce 7900 GT,258,1963,1.3,$199.00*
236,GeForce 7900 GT/GTO,247,1975,,
237,GeForce 7900 GTX,387,1839,,
238,GeForce 7950 GT,346,1875,1.36,$254.80*
239,GeForce 7950 GX2,201,2028,3.67,$54.99*
240,GeForce 7950 Xtreme,287,1930,,
241,GeForce 800A,476,1754,,
242,GeForce 800M,477,1752,,
243,GeForce 8100 / nForce 720a,79,2294,,
244,GeForce 810A,655,1520,,
245,GeForce 810M,419,1814,,
246,GeForce 8200,163,2079,,
247,GeForce 8200M G,65,2335,,
248,GeForce 820A,555,1655,,
249,GeForce 820M,488,1738,,
250,GeForce 825M,770,1408,,
251,GeForce 8300,101,2231,4.48,$22.68*
252,GeForce 8300 GS,115,2189,,
253,GeForce 830A,1156,1162,,
254,GeForce 830M,1009,1228,,
255,GeForce 8400,81,2287,0.14,$589.99*
256,GeForce 8400 GS,155,2086,1.81,$85.97*
